Happy,Angry,Surprise,Sad,Fear,no_words,no_misspelled,readability,unique_words,class
0.19,0.06,0.19,0.11,0.44,2422,0.01610239471511148,39.26,939,0
0.0,0.0,0.0,0.5,0.5,363,1.6473829201101928,-253.66,4,0
0.17,0.02,0.18,0.08,0.55,1841,0.015752308527973928,55.44,943,0
0.05,0.0,0.2,0.2,0.55,245,0.10612244897959183,-4.91,169,0
0.14,0.03,0.12,0.15,0.57,1151,0.023457862728062554,53.41,568,0
0.06,0.06,0.18,0.2,0.51,1044,0.029693486590038315,24.71,534,0
0.09,0.06,0.13,0.09,0.62,1192,0.02348993288590604,43.12,694,0
0.06,0.05,0.19,0.21,0.49,750,0.030666666666666665,6.41,421,0
0.11,0.06,0.15,0.16,0.52,2387,0.011311269375785506,56.18,840,0
0.06,0.03,0.24,0.13,0.54,891,0.028058361391694726,35.37,490,0
0.0,0.0,0.0,0.12,0.88,183,0.1092896174863388,75.98,144,0
0.13,0.05,0.15,0.08,0.59,599,0.08013355592654424,31.72,394,0
0.09,0.0,0.49,0.09,0.33,469,0.05970149253731343,35.68,239,0
0.13,0.03,0.24,0.21,0.39,1239,0.022598870056497175,36.83,771,0
0.05,0.01,0.11,0.11,0.72,940,0.03723404255319149,35.61,347,0
0.1,0.04,0.22,0.16,0.48,646,0.03560371517027864,33.28,319,0
0.18,0.04,0.18,0.14,0.46,1337,0.02019446522064323,-43.47,795,0
0.04,0.02,0.12,0.12,0.7,773,0.03492884864165589,36.32,388,0
0.0,0.0,0.0,0.3,0.7,1026,0.057504873294346975,30.6,545,0
0.31,0.01,0.2,0.23,0.25,654,0.04434250764525994,35.37,383,0
0.1,0.04,0.18,0.24,0.45,1267,0.020520915548539857,24.07,748,0
0.14,0.05,0.16,0.14,0.51,3722,0.008597528210639442,43.12,1210,0
0.2,0.0,0.6,0.2,0.0,102,0.20588235294117646,65.12,58,0
0.05,0.16,0.16,0.11,0.53,2047,0.01709819247679531,44.44,1016,0
0.07,0.05,0.21,0.11,0.57,1003,0.02991026919242273,21.4,504,0
0.1,0.05,0.27,0.15,0.43,1338,0.02092675635276532,41.26,658,0
0.0,0.0,0.0,0.25,0.75,85,0.9764705882352941,-1.96,68,0
0.0,0.0,0.25,0.25,0.5,54,0.37037037037037035,-42.56,43,0
0.04,0.02,0.06,0.16,0.71,1432,0.025139664804469275,15.61,622,0
0.11,0.09,0.2,0.21,0.39,1051,0.03139866793529972,49.45,687,0
0.22,0.06,0.22,0.14,0.36,2562,0.01209992193598751,30.81,1117,0
0.2,0.05,0.1,0.1,0.55,342,0.07602339181286549,3.47,202,0
0.05,0.04,0.08,0.19,0.65,1152,0.021701388888888888,-9.67,448,0
0.07,0.04,0.16,0.12,0.61,1842,0.016286644951140065,26.21,911,0
0,0,0,0,0,14,0.9285714285714286,91.11,12,0
0.03,0.15,0.08,0.23,0.52,923,0.024918743228602384,44.78,483,0
0.13,0.06,0.1,0.1,0.61,647,0.08964451313755796,66.33,300,0
0.11,0.02,0.17,0.2,0.51,3324,0.024067388688327317,0.83,1390,0
0.09,0.05,0.14,0.43,0.29,4093,0.007818226239921818,55.03,1724,0
0.12,0.0,0.33,0.09,0.47,456,0.12280701754385964,63.49,245,0
0.0,0.0,0.5,0.0,0.5,2756,0.48657474600870826,112.8,1678,0
0.0,0.0,0.33,0.33,0.33,168,0.13095238095238096,72.22,55,0
0.18,0.06,0.21,0.15,0.39,1610,0.018633540372670808,47.76,762,0
0.03,0.0,0.17,0.12,0.69,877,0.0330672748004561,39.06,404,0
0.07,0.04,0.05,0.14,0.7,1968,0.05233739837398374,-23.41,1166,0
0.13,0.08,0.34,0.11,0.34,963,0.028037383177570093,42.31,500,0
0.07,0.04,0.2,0.21,0.47,1732,0.016166281755196306,52.53,904,0
0.03,0.02,0.09,0.16,0.7,939,0.0362087326943557,65.22,421,0
1.0,0.0,0.0,0.0,0.0,277,0.12274368231046931,14.56,174,0
0.03,0.06,0.23,0.12,0.55,522,0.04789272030651341,44.95,298,0
0.07,0.07,0.21,0.17,0.48,1609,0.01740211311373524,55.37,874,0
0.03,0.02,0.26,0.08,0.61,2494,0.01082598235765838,28.4,1021,0
0.08,0.03,0.26,0.19,0.44,2462,0.011372867587327376,56.83,1309,0
0.04,0.08,0.04,0.04,0.8,272,0.08455882352941177,27.59,181,0
0.05,0.0,0.18,0.21,0.55,859,0.119906868451688,12.53,431,0
